"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
42,"1","NO TRUCK","2025-01-24T08:55:06.325855Z",14461,"/data/upload/5/be6c186a-img_440.jpg",22.058,"2025-01-24T08:55:06.325855Z"
43,"1","TRUCK","2025-01-24T08:55:38.109294Z",14462,"/data/upload/5/5de64e5e-img_441.jpg",22.784,"2025-01-24T08:55:38.109294Z"
44,"1","NO TRUCK","2025-01-24T08:55:47.628515Z",14463,"/data/upload/5/609f9563-img_442.jpg",6.452,"2025-01-24T08:55:47.628515Z"
45,"1","NO TRUCK","2025-01-24T08:55:54.565463Z",14464,"/data/upload/5/9d23ebd0-img_443.jpg",4.799,"2025-01-24T08:55:54.565463Z"
46,"1","NO TRUCK","2025-01-24T08:56:08.902135Z",14465,"/data/upload/5/2a99a4ac-img_444.jpg",12.728,"2025-01-24T08:56:08.902135Z"
47,"1","NO TRUCK","2025-01-24T08:56:25.865888Z",14466,"/data/upload/5/db7b592b-img_445.jpg",15.634,"2025-01-24T08:56:25.865888Z"
48,"1","TRUCK","2025-01-24T08:56:30.809344Z",14467,"/data/upload/5/53206c49-img_446.jpg",3.587,"2025-01-24T08:56:30.809344Z"
49,"1","NO TRUCK","2025-01-24T08:56:52.908472Z",14468,"/data/upload/5/5672dedc-img_447.jpg",10.883,"2025-01-24T08:56:52.908472Z"
50,"1","NO TRUCK","2025-01-24T08:57:11.526457Z",14469,"/data/upload/5/eda32e24-img_448.jpg",11.128,"2025-01-24T08:57:11.526457Z"
51,"1","NO TRUCK","2025-01-24T08:57:27.571404Z",14470,"/data/upload/5/3f1fe3fe-img_449.jpg",12.706,"2025-01-24T08:57:27.571404Z"
52,"1","NO TRUCK","2025-01-24T08:57:37.040704Z",14471,"/data/upload/5/c15394f3-img_450.jpg",7.81,"2025-01-24T08:57:37.040704Z"
53,"1","NO TRUCK","2025-01-24T08:57:52.164333Z",14472,"/data/upload/5/8338335b-img_451.jpg",13.651,"2025-01-24T08:57:52.164333Z"
54,"1","NO TRUCK","2025-01-24T08:58:07.957972Z",14473,"/data/upload/5/7c057477-img_452.jpg",12.708,"2025-01-24T08:58:07.957972Z"
55,"1","NO TRUCK","2025-01-24T08:59:21.496609Z",14474,"/data/upload/5/14ca2618-img_453.jpg",71.46,"2025-01-24T08:59:21.496609Z"
56,"1","TRUCK","2025-01-24T08:59:47.107383Z",14475,"/data/upload/5/8b237e23-img_454.jpg",23.892,"2025-01-24T08:59:47.107383Z"
57,"1","NO TRUCK","2025-01-24T09:00:39.168639Z",14476,"/data/upload/5/06954187-img_455.jpg",50.109,"2025-01-24T09:00:39.168639Z"
58,"1","TRUCK","2025-01-24T09:01:08.184632Z",14477,"/data/upload/5/db50eff9-img_456.jpg",27.384,"2025-01-24T09:01:08.184632Z"
59,"1","TRUCK","2025-01-24T09:01:56.987683Z",14478,"/data/upload/5/cb05fe2d-img_457.jpg",46.777,"2025-01-24T09:01:56.987683Z"
60,"1","NO TRUCK","2025-01-24T09:02:10.946702Z",14479,"/data/upload/5/95cbab6b-img_458.jpg",11.621,"2025-01-24T09:02:10.946702Z"
61,"1","TRUCK","2025-01-24T09:03:00.433187Z",14480,"/data/upload/5/b0692a0e-img_459.jpg",46.632,"2025-01-24T09:03:00.433187Z"
